number, id, lat, lon
4,S100345,36.58817499,140.6594447
5,S100344,36.55810016,140.6464099
6,S100351,36.5101013,140.6234657
7,S100393,36.3927934,140.511761
8,S100423,31.327553,120.50077
9,S100424,-6.29,107.17
10,S100428,24.253677,120.513344
11,S100515,33.99910911,131.8834754
12,S100510,36.11165623,140.2335238
13,S100517,35.95141766,139.6133234
14,S100519,37.66626468,139.040234
15,S100638,36.39938944,140.5049251
17,S100664,23.013248,113.28663
18,S100673,23.148434,113.44248
19,S100675,39.45370324,117.4296112
20,S100676,31.174465,121.11056
21,S100677,23.142221,113.44723
22,S100691,23.143002,113.439606
23,S100692,30.779867,103.89461
24,S100686,13.435629,101.093217
25,S100593,33.99910911,131.8834754
26,S102454,54.588707,-1.569305
27,S102455,40.852155,14.312424
28,S102456,43.924172,10.904524
29,S102457,38.082701,15.635761
37,S100019,35.3866838,139.1847136
39,S100030,37.37985244,140.4028083
40,S100496,36.5101013,140.6234657
41,S100024,35.19545966,137.0466966
42,S100028,22.679699,113.78996
43,S100027,14.79668628,120.2951177
44,S100037,35.44412609,139.6380636
50,S100096,35.18963052,-97.4126537
53,S100814,35.90868534,139.9467106
54,S100711,35.69438529,140.0695427
55,S100712,38.09886646,139.3899663
56,S100714,36.59920242,140.6514852
57,S100715,34.98897245,138.4828896
58,S100717,35.45226308,139.4108666
59,S100400,36.413689,140.556823
60,S100754,31.923407,118.86595
61,S100755,13.84399655,101.7771235
62,S102474,41.704071,-86.848158
63,S102480,31.326699,120.789429
64,S100768,36.39938944,140.5049251
65,S100769,33.99910911,131.8834754
66,S100770,36.22962889,139.1464615
67,S100775,36.39938944,140.5049251
68,S100777,35.325441,138.976479
69,S100994,36.11165623,140.2335238
70,S100996,36.09581828,140.2975322
71,S100997,36.39418373,140.5882166
72,S100998,36.4157523,140.5845546
73,S101000,35.76859827,140.0780803
74,S101001,38.41472904,140.4087953
75,S101003,34.98650711,136.1617552
76,S101009,35.91154873,140.1822745
77,S101053,34.74549,134.936631
78,S101015,40.25998693,140.397114
79,S101017,31.7601,117.247665
80,S101029,31.730175,117.23112
81,S101041,-6.266876,107.127418
82,S101049,22.371596,87.369325
83,S101021,52.416644,4.792963
84,S102488,48.588158,-68.182815
85,S102490,-32.882458,151.726782
86,S102493,39.729837,-94.779639
87,S102496,10.937513,77.058668
88,S102498,34.278515,117.328429
89,S102503,2.158853,102.413005
90,S101114,33.78240455,130.9912697
91,S101116,36.45985327,139.9678449
92,S101120,35.05130271,136.6849847
93,S101121,35.43184776,133.2513704
94,S101124,36.15654979,139.3194455
95,S101128,34.87676024,135.671244
96,S101129,36.15654979,139.3194455
97,S101130,35.43421509,133.2477638
98,S101131,33.21634273,130.1044421
99,S101232,36.63335289,140.6795094
100,S101148,33.22571596,130.0531768
101,S101151,35.46018477,134.2446497
102,S101169,35.43421509,133.2477638
103,S101171,35.43421509,133.2477638
104,S101172,34.75164106,135.5080776
105,S101173,40.18367818,140.3475517
106,S101176,35.39722268,134.8013906
107,S101177,32.09175765,130.349966
108,S101183,33.90855806,130.8123261
109,S101184,35.67676226,139.7823119
110,S101187,36.00128024,139.5419903
111,S101242,36.11302991,139.5527263
112,S101243,36.21468581,140.285615
113,S101244,38.27485,141.0162813
114,S101199,36.33333,128.75
115,S101200,35.77417,128.42111
116,S101220,13.84538997,121.2064901
117,S101273,31.225391,120.496925
118,S101259,14.01116655,121.171284
119,S101270,20.92676333,106.290352
120,S101195,14.45384484,100.3817578
121,S101196,14.34989,100.67585
122,S101263,13.5567928,100.9376726
123,S101276,13.43431168,101.107312
124,S101275,1.628438124,103.6568361
125,S101222,-6.000765,106.012968
126,S101229,27.962472,76.368809
127,S101203,40.55359,-84.3723
128,S101204,35.57403,-80.55276
129,S101205,41.67219,-77.0616
