No.    company                                               Stars
  1    Cloud Ace-----------------------------------------      8  
  2    Cloud Ace - APAC----------------------------------      8  
  3    Maven Wave----------------------------------------      8  
  4    Accenture-----------------------------------------      6  
  5    Deloitte Consulting LLP---------------------------      6  
  6    DEVOTEAM------------------------------------------      5  
  7    DoiT International--------------------------------      4  
  8    Xertica Labs SAC----------------------------------      4  
  9    Pythian-------------------------------------------      4  
 10    SFEIR---------------------------------------------      4  
 11    Servian-------------------------------------------      4  
 12    CI&T----------------------------------------------      3  
 13    Searce--------------------------------------------      3  
 14    PwC-----------------------------------------------      3  
 15    ROI Training--------------------------------------      3  
 16    SADA----------------------------------------------      3  
 17    Quantiphi Inc.------------------------------------      3  
 18    Slalom--------------------------------------------      3  
 19    Agosto--------------------------------------------      3  
 20    Infoanalitica-------------------------------------      3  
 21    Onix----------------------------------------------      3  
 22    Progis--------------------------------------------      3  
 23    Devoteam GmbH-------------------------------------      3  
 24    Eforcers una empresa Xertica Labs-----------------      3  
 25    INJENIA SRL---------------------------------------      3  
 26    Xertica Colombia----------------------------------      3  
 27    Xertica México------------------------------------      3  
 28    CloudWare 360 S.A.C-------------------------------      3  
 29    Cloudware 360 S.A. una empresa Xertica Labs.------      3  
 30    SoftServe-----------------------------------------      3  
 31    Onix Networking Canada Inc.-----------------------      3  
 32    TOPGATE-------------------------------------------      2  
 33    BRAINPAD INC.-------------------------------------      2  
 34    Rockplace Inc.------------------------------------      2  
 35    GCP.expert (GCP 專門家)------------------------------      2  
 36    CloudMile Inc.------------------------------------      2  
 37    Cloud Mile Inc.-----------------------------------      2  
 38    MediaAgility Singapore----------------------------      2  
 39    MORE----------------------------------------------      2  
 40    Dito LLC------------------------------------------      2  
 41    Aliz----------------------------------------------      2  
 42    MediaAgility Inc.---------------------------------      2  
 43    Rackspace-----------------------------------------      2  
 44    MediaAgility UK & EMEA----------------------------      2  
 45    Cloudreach----------------------------------------      2  
 46    MediaAgility India & Asia Pacific-----------------      2  
 47    Datatonic-----------------------------------------      2  
 48    Publicis Sapient----------------------------------      2  
 49    Adswerve------------------------------------------      2  
 50    SpringML------------------------------------------      2  
 51    QA Limited----------------------------------------      2  
 52    Siatik--------------------------------------------      2  
 53    Ancoris-------------------------------------------      2  
 54    Innext S.r.l.-------------------------------------      2  
 55    Go Reply------------------------------------------      2  
 56    Appsbroker Limited--------------------------------      2  
 57    SantoDigital--------------------------------------      2  
 58    Analytics Pros------------------------------------      2  
 59    Global Knowledge----------------------------------      2  
 60    GRASYS K.K.---------------------------------------      1  
 61    Nomura Research Institute Ltd. (NRI)--------------      1  
 62    Bespin Global Inc.--------------------------------      1  
 63    TRAINOCATE----------------------------------------      1  
 64    g-company-----------------------------------------      1  
 65    Woolpert------------------------------------------      1  
 66    Qlouder B.V.--------------------------------------      1  
 67    POP Media Technology S.A. de C.V.-----------------      1  
 68    55 | fifty-five-----------------------------------      1  
 69    CloudCover----------------------------------------      1  
 70    Nubosoft------------------------------------------      1  
 71    Master Concept------------------------------------      1  
 72    Epam Systems Inc.---------------------------------      1  
 73    鴻綸科技 Hunglun Technology---------------------------      1  
 74    Fast Lane Institute for Knowledge Transfer / ITLS-      1  
 75    GoPomelo Cloud------------------------------------      1  
 76    OniGroup Pty Ltd----------------------------------      1  
 77    Claranet------------------------------------------      1  
 78    Ubilabs GmbH--------------------------------------      1  
 79    Cloudwürdig GmbH----------------------------------      1  
 80    Computas------------------------------------------      1  
 81    Atos----------------------------------------------      1  
 82    ACKSTORM------------------------------------------      1  
 83    Revolgy Business Solutions------------------------      1  
 84    Cloud Technology Solutions Ltd.-------------------      1  
 85    Practiv-------------------------------------------      1  
 86    TWT Business Solutions GmbH-----------------------      1  
 87    CIRRUSEO------------------------------------------      1  
 88    Cloudbakers---------------------------------------      1  
 89    Colaborativa--------------------------------------      1  
 90    Wabion--------------------------------------------      1  
 91    NGIS AUSTRALIA------------------------------------      1  
 92    Revevol Group-------------------------------------      1  
 93    Nortal--------------------------------------------      1  
 94    Incentro------------------------------------------      1  
 95    Eduspec Holdings Berhad---------------------------      1  
 96    Merkle Inc.---------------------------------------      1  
 97    Gestion del conocimiento digital ieducando S.L.---      1  
 98    Servinformacion-----------------------------------      1  
 99    CLOUD COMRADE PTE LTD-----------------------------      1  
100    Thermopylae Sciences & Technology-----------------      1  
101    Ancoris Limited-----------------------------------      1  
102    Pluto7 Consulting Inc-----------------------------      1  
103    Web Geo Services SA-------------------------------      1  
104    Neudesic LLC--------------------------------------      1  
105    Emergya-------------------------------------------      1  
106    Fast Lane LATAM-----------------------------------      1  
107    DP6-----------------------------------------------      1  
108    ScaleSec------------------------------------------      1  
109    Wunderman-----------------------------------------      1  
110    GK Cloud Solutions Private Limited----------------      1  
111    GrowthOps-----------------------------------------      1  
112    Biarca--------------------------------------------      1  
113    NETEC---------------------------------------------      1  
114    Accenture - EMEA----------------------------------      1  
115    Shine Solutions Group-----------------------------      1  
116    AppsEvents----------------------------------------      1  
117    Edtechteacher Inc.--------------------------------      1  
118    Accenture - APAC----------------------------------      1  
119    LearnQuest----------------------------------------      1  
120    Hitachi Consulting--------------------------------      1  
121    Using Technology Better---------------------------      1  
122    Myers-Holum Inc.----------------------------------      1  
123    Object Computing Inc.-----------------------------      1  
124    EdTechTeam----------------------------------------      1  
125    NUVEM MESTRA--------------------------------------      1  
126    Fast Lane Consulting and Education Services Ltd---      1  
127    friEdTechnology-----------------------------------      1  
128    Five-Star Technology Solutions--------------------      1  
129    FIVE-STAR TECHNOLOGY SOLUTIONS LLC----------------      1  
130    DDLS----------------------------------------------      1  
131    Jellyfish Training--------------------------------      1  
132    Seed Development Inc.-----------------------------      1  
133    ENSINAR TECNOLOGIA--------------------------------      1  
134    GRUPO DOT-----------------------------------------      1  
135    Tierney-------------------------------------------      1  
136    GFT-----------------------------------------------      1  
137    ARKi1---------------------------------------------      1  
138    Arkeup SAS----------------------------------------      1  
139    CENTER FOR CREATIVE TRAINING ltd------------------      1  
140    EXTREMA SISTEMAS----------------------------------      1  
141    Innedu--------------------------------------------      1  
142    AMPLIFICA-----------------------------------------      1  
143    Kiker Learing-------------------------------------      1  
144    Apprenda------------------------------------------      1  
145    Leverege------------------------------------------      1  
146    Digital Mobile Innovations SL---------------------      1  
