No.    Company                                                 Stars
1      Atos------------------------------------------------    10
2      Accenture-------------------------------------------     9
3      Maven Wave------------------------------------------     9
4      Cloud Ace Inc.--------------------------------------     8
5      Cloud Ace - APAC------------------------------------     8
6      吉積情報株式会社------------------------------------     8
7      Deloitte Consulting LLP-----------------------------     8
8      DoiT International----------------------------------     7
9      DEVOTEAM--------------------------------------------     7
10     MediaAgility----------------------------------------     6
11     SoftServe-------------------------------------------     5
12     SADA------------------------------------------------     5
13     Searce----------------------------------------------     5
14     Pythian---------------------------------------------     5
15     Servian---------------------------------------------     5
16     EPAM Systems Inc.-----------------------------------     4
17     Cloudbakers-----------------------------------------     4
18     SpringML--------------------------------------------     4
19     Xertica Labs Inc------------------------------------     4
20     SFEIR-----------------------------------------------     4
21     CI&T------------------------------------------------     4
22     Bespin Global Inc.----------------------------------     3
23     Cloud Mile Limited----------------------------------     3
24     Megazone Corp.--------------------------------------     3
25     iKala-----------------------------------------------     3
26     Quantiphi Inc.--------------------------------------     3
27     Pluto7 Consulting Inc-------------------------------     3
28     Onix------------------------------------------------     3
29     Rackspace Technology--------------------------------     3
30     SantoDigital----------------------------------------     3
31     Appsbroker Limited----------------------------------     3
32     GFT-------------------------------------------------     3
33     Nubosoft--------------------------------------------     3
34     Agosto----------------------------------------------     3
35     Slalom----------------------------------------------     3
36     INJENIA SRL-----------------------------------------     3
37     Cloudypedia-----------------------------------------     3
38     ROI Training----------------------------------------     3
39     Davinci Technologies--------------------------------     3
40     Onix Networking Canada Inc.-------------------------     3
41     CLOUD COMRADE PTE LTD-------------------------------     2
42     Nomura Research Institute Ltd. (NRI)----------------     2
43     Softline--------------------------------------------     2
44     NRIデジタル-----------------------------------------     2
45     Master Concept--------------------------------------     2
46     BRAINPAD INC.---------------------------------------     2
47     Ancoris---------------------------------------------     2
48     Rockplace Inc.--------------------------------------     2
49     Cloudwürdig GmbH------------------------------------     2
50     GoPomelo--------------------------------------------     2
51     Cloudreach------------------------------------------     2
52     Core Compete----------------------------------------     2
53     PA CONSULTING GROUP---------------------------------     2
54     Datatonic-------------------------------------------     2
55     Fast Lane Institute for Knowledge Transfer / ITLS---     2
56     Aliz Technologies-----------------------------------     2
57     Incentro--------------------------------------------     2
58     CIRRUSEO--------------------------------------------     2
59     Innext S.r.l.---------------------------------------     2
60     Nortal----------------------------------------------     2
61     Computas--------------------------------------------     2
62     Amarello--------------------------------------------     2
63     Dito LLC--------------------------------------------     2
64     MightyHive------------------------------------------     1
65     TOPGATE---------------------------------------------     1
66     grasys K.K.-----------------------------------------     1
67     TS Cloud--------------------------------------------     1
68     Microfusion Technology Co. Ltd.---------------------     1
69     STREET SMART Inc.-----------------------------------     1
70     イーディーエル株式会社------------------------------     1
71     TRAINOCATE (トレノケート)---------------------------     1
72     SOTEC-----------------------------------------------     1
73     Shivaami--------------------------------------------     1
74     Cloud Technology Solutions Ltd.---------------------     1
75     Fourcast--------------------------------------------     1
76     55 | fifty-five-------------------------------------     1
77     NETPREMACY CLOUD SERVICES---------------------------     1
78     g-company-------------------------------------------     1
79     Emergya Digital-------------------------------------     1
80     Biarca----------------------------------------------     1
81     Agile GCP Labs--------------------------------------     1
82     Zenta Group-----------------------------------------     1
83     鴻綸科技 Hunglun Technology-------------------------     1
84     Colaborativa----------------------------------------     1
85     Datametica Solutions Inc.---------------------------     1
86     OniGroup Pty Ltd------------------------------------     1
87     Woolpert--------------------------------------------     1
88     Revolgy Business Solutions--------------------------     1
89     Qi Network------------------------------------------     1
90     Suitebriar Inc.-------------------------------------     1
91     Foreducation EdTech---------------------------------     1
92     Five-Star Technology Solutions----------------------     1
93     Q Software Research Corporation---------------------     1
94     Nordcloud Oy----------------------------------------     1
95     S&E Cloud Experts-----------------------------------     1
96     Safetec Informática---------------------------------     1
97     DELVE-----------------------------------------------     1
98     PointStar-------------------------------------------     1
99     TANGERINE CO.LTD------------------------------------     1
100    Devoteam Cloud Services (formerly Avalon Solutions)-     1
101    CloudCover------------------------------------------     1
102    INTELLIGENCE PARTNER--------------------------------     1
103    Wabion----------------------------------------------     1
104    Nubalia Cloud Computing SL--------------------------     1
105    Kasna-----------------------------------------------     1
106    CLOUDPILOTS Software & Consulting GmbH--------------     1
107    Liveli----------------------------------------------     1
108    oXya Corporation------------------------------------     1
