0 , Company , 0
1 , TOPGATE , 2
2 , Cloud Ace , 8
3 , GRASYS K.K. , 1
4 , Accenture , 6
5 , Cloud Ace - APAC , 8
6 , CI&T , 3
7 , Nomura Research Institute Ltd. (NRI) , 1
8 , BRAINPAD INC. , 2
9 , Bespin Global Inc. , 1
10 , TRAINOCATE , 1
11 , Rockplace Inc. , 2
12 , Searce , 3
13 , g-company , 1
14 , PwC , 3
15 , Deloitte Consulting LLP , 6
16 , DoiT International , 4
17 , Woolpert , 1
18 , ROI Training , 3
19 , SADA , 3
20 , Maven Wave , 8
21 , DEVOTEAM , 5
22 , Qlouder B.V. , 1
23 , Quantiphi Inc. , 3
24 , Slalom , 3
25 , Slalom , 3
26 , Xertica Labs SAC , 4
27 , POP Media Technology S.A. de C.V. , 1
28 , 55 | fifty-five , 1
29 , CloudCover , 1
30 , GCP.expert (GCP 專門家) , 2
31 , Nubosoft , 1
32 , CloudMile Inc. , 2
33 , Cloud Mile Inc. , 2
34 , Master Concept , 1
35 , Epam Systems Inc. , 1
36 , 鴻綸科技 Hunglun Technology , 1
37 , 鴻綸科技 Hunglun Technology , 1
38 , Fast Lane Institute for Knowledge Transfer / ITLS , 1
39 , GoPomelo Cloud , 1
40 , MediaAgility Singapore , 2
41 , OniGroup Pty Ltd , 1
42 , Claranet , 1
43 , Agosto , 3
44 , Ubilabs GmbH , 1
45 , Cloudwürdig GmbH , 1
46 , MORE , 2
47 , Atos , 1
48 , Globant , 2
49 , Computas , 1
50 , Oreta , 1
51 , Pythian , 4
52 , Datametica Solutions Inc. , 1
53 , ACKSTORM , 1
54 , Revolgy Business Solutions , 1
55 , Cloud Technology Solutions Ltd. , 1
56 , SFEIR , 4
57 , Practiv , 1
58 , TWT Business Solutions GmbH , 1
59 , Dito LLC , 2
60 , CIRRUSEO , 1
61 , Cloudbakers , 1
62 , Aliz , 2
63 , MediaAgility Inc. , 2
64 , Rackspace , 2
65 , Colaborativa , 1
66 , Wabion , 1
67 , Infoanalitica , 3
68 , NGIS AUSTRALIA , 1
69 , Onix , 3
70 , Progis , 3
71 , NGIS AUSTRALIA , 1
72 , Cloudreach , 2
73 , Devoteam GmbH , 3
74 , MediaAgility UK & EMEA , 2
75 , MediaAgility India & Asia Pacific , 2
76 , Servian , 4
77 , Revevol Group , 1
78 , Datatonic , 2
79 , Publicis Sapient , 2
80 , Hitachi Consulting , 1
81 , Adswerve , 2
82 , SpringML , 2
83 , QA Limited , 2
84 , Eforcers una empresa Xertica Labs , 3
85 , Siatik , 2
86 , INJENIA SRL , 3
87 , Nortal , 1
88 , Xertica Colombia , 3
89 , Xertica México , 3
90 , Incentro , 1
91 , Eduspec Holdings Berhad , 1
92 , Merkle Inc. , 1
93 , Gestion del conocimiento digital ieducando S.L. , 1
94 , Ancoris , 2
95 , Innext S.r.l. , 2
96 , Servinformacion , 1
97 , CloudWare 360 S.A.C , 3
98 , CLOUD COMRADE PTE LTD , 1
99 , Cloudware 360 S.A. una empresa Xertica Labs. , 3
100 , Thermopylae Sciences & Technology , 1
101 , Go Reply , 2
102 , Ancoris Limited , 1
103 , Ancoris Limited , 1
104 , Appsbroker Limited , 2
105 , Pluto7 Consulting Inc , 1
106 , Web Geo Services SA , 1
107 , SantoDigital , 2
108 , Neudesic LLC , 1
109 , SoftServe , 3
110 , Fast Lane LATAM , 1
111 , Emergya , 1
112 , Pluto7 Consulting Inc , 1
113 , DP6 , 1
114 , Analytics Pros , 2
115 , ScaleSec , 1
116 , Wunderman , 1
117 , GrowthOps , 1
118 , NETEC , 1
119 , Biarca , 1
120 , GK Cloud Solutions Private Limited , 1
121 , Accenture - EMEA , 1
122 , Global Knowledge , 2
123 , Shine Solutions Group , 1
124 , AppsEvents , 1
125 , Edtechteacher Inc. , 1
126 , Edtechteacher Inc. , 1
127 , Accenture - APAC , 1
128 , LearnQuest , 1
129 , Using Technology Better , 1
130 , Myers-Holum Inc. , 1
131 , Object Computing Inc. , 1
132 , EdTechTeam , 1
133 , NUVEM MESTRA , 1
134 , Fast Lane Consulting and Education Services Ltd , 1
135 , friEdTechnology , 1
136 , Onix Networking Canada Inc. , 3
137 , Five-Star Technology Solutions , 1
138 , FIVE-STAR TECHNOLOGY SOLUTIONS LLC , 1
139 , DDLS , 1
140 , Jellyfish Training , 1
141 , Seed Development Inc. , 1
142 , ENSINAR TECNOLOGIA , 1
143 , GRUPO DOT , 1
144 , Tierney , 1
145 , GFT , 1
146 , ARKi1 , 1
147 , Arkeup SAS , 1
148 , CENTER FOR CREATIVE TRAINING ltd , 1
149 , EXTREMA SISTEMAS , 1
150 , EXTREMA SISTEMAS , 1
151 , Innedu , 1
152 , AMPLIFICA , 1
153 , Kiker Learing , 1
154 , Apprenda , 1
155 , Leverege , 1
156 , Digital Mobile Innovations SL , 1
157 , aspire2b.eu , 1
158 , Fundación BIAS , 1
159 , Education Design Lab.Inc. , 1
160 , Eduscape Partners LLC​ , 1
